full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
frankbria/ralph-claude-code,1554,1554,111,422,422,26,https://github.com/frankbria/ralph-claude-code
EnzeD/vibe-coding,3627,3627,1110,15,15,2,https://github.com/EnzeD/vibe-coding
darcyegb/ClaudeCodeAgents,456,456,41,1,1,1,https://github.com/darcyegb/ClaudeCodeAgents
peterkrueck/Claude-Code-Development-Kit,1270,1270,144,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
steipete/claude-code-mcp,993,993,113,1,1,1,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1144,1144,140,13,13,1,https://github.com/Njengah/claude-code-cheat-sheet
revfactory/claude-code-mastering,734,734,117,1,1,0,https://github.com/revfactory/claude-code-mastering
disler/claude-code-hooks-multi-agent-observability,893,893,273,1,1,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
wasabeef/claude-code-cookbook,942,942,103,0,0,0,https://github.com/wasabeef/claude-code-cookbook
JessyTsui/Claude-Code-Remote,944,944,103,3,3,1,https://github.com/JessyTsui/Claude-Code-Remote
EveryInc/compound-engineering-plugin,4491,4491,379,76,76,7,https://github.com/EveryInc/compound-engineering-plugin
0xfurai/claude-code-subagents,624,624,123,2,2,0,https://github.com/0xfurai/claude-code-subagents
zed-industries/claude-code-acp,722,722,107,3,3,1,https://github.com/zed-industries/claude-code-acp
opactorai/Claudable,3581,3581,553,4,4,0,https://github.com/opactorai/Claudable
anthropics/claude-agent-sdk-python,4048,4048,537,18,18,2,https://github.com/anthropics/claude-agent-sdk-python
upstash/context7,41554,41554,2031,78,78,2,https://github.com/upstash/context7
kn1026/cc,697,697,265,0,0,0,https://github.com/kn1026/cc
slopus/happy,6976,6976,518,63,63,7,https://github.com/slopus/happy
jarrodwatts/claude-code-config,726,726,89,17,17,2,https://github.com/jarrodwatts/claude-code-config
superdesigndev/superdesign,5697,5697,656,4,4,1,https://github.com/superdesigndev/superdesign
pchalasani/claude-code-tools,1015,1015,75,6,6,1,https://github.com/pchalasani/claude-code-tools
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
alirezarezvani/claude-code-tresor,423,423,106,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
catlog22/Claude-Code-Workflow,909,909,74,7,7,0,https://github.com/catlog22/Claude-Code-Workflow
severity1/claude-code-prompt-improver,1041,1041,95,1,1,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-demos,1095,1095,176,12,12,2,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,542,542,89,1,1,1,https://github.com/ericbuess/claude-code-docs
simonw/claude-code-transcripts,737,737,75,11,11,1,https://github.com/simonw/claude-code-transcripts
numman-ali/openskills,4550,4550,338,51,51,7,https://github.com/numman-ali/openskills
greggh/claude-code.nvim,1702,1702,53,0,0,1,https://github.com/greggh/claude-code.nvim
zsio/claude-code-hub,145,145,147,0,0,0,https://github.com/zsio/claude-code-hub
d-kimuson/claude-code-viewer,768,768,70,0,0,0,https://github.com/d-kimuson/claude-code-viewer
jeremylongshore/claude-code-plugins-plus-skills,944,944,114,6,6,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
Matt-Dionis/claude-code-configs,592,592,79,1,1,0,https://github.com/Matt-Dionis/claude-code-configs
coleam00/context-engineering-intro,12157,12157,2570,16,16,2,https://github.com/coleam00/context-engineering-intro
manzaltu/claude-code-ide.el,1243,1243,70,0,0,0,https://github.com/manzaltu/claude-code-ide.el
BloopAI/vibe-kanban,14836,14836,1385,282,282,26,https://github.com/BloopAI/vibe-kanban
nextlevelbuilder/ui-ux-pro-max-skill,11170,11170,1197,554,554,64,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
anthropics/claude-plugins-official,2937,2937,328,260,260,28,https://github.com/anthropics/claude-plugins-official
UfoMiao/zcf,5152,5152,360,4,4,0,https://github.com/UfoMiao/zcf
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
MadAppGang/claude-code,204,204,19,0,0,0,https://github.com/MadAppGang/claude-code
hesreallyhim/a-list-of-claude-code-agents,1122,1122,109,1,1,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
stretchcloud/claude-code-unified-agents,722,722,70,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
bfly123/claude_code_bridge,585,585,59,26,26,5,https://github.com/bfly123/claude_code_bridge
Dicklesworthstone/claude_code_agent_farm,620,620,74,1,1,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
cexll/myclaude,1726,1726,218,24,24,2,https://github.com/cexll/myclaude
kepano/obsidian-skills,5350,5350,227,0,0,0,https://github.com/kepano/obsidian-skills
anomalyco/opencode,61681,61681,5308,1963,1963,204,https://github.com/anomalyco/opencode
zhukunpenglinyutong/idea-claude-code-gui,620,620,72,9,9,2,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
oraios/serena,18479,18479,1258,43,43,3,https://github.com/oraios/serena
daaain/claude-code-log,621,621,54,2,2,0,https://github.com/daaain/claude-code-log
glidea/claude-worker-proxy,239,239,120,0,0,-1,https://github.com/glidea/claude-worker-proxy
breaking-brake/cc-wf-studio,2465,2465,272,44,44,5,https://github.com/breaking-brake/cc-wf-studio
ericc-ch/copilot-api,1972,1972,338,15,15,0,https://github.com/ericc-ch/copilot-api
IncomeStreamSurfer/claude-code-agents-wizard-v2,307,307,157,0,0,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
stevemolitor/claude-code.el,577,577,51,2,2,0,https://github.com/stevemolitor/claude-code.el
iannuttall/claude-agents,1955,1955,263,2,2,0,https://github.com/iannuttall/claude-agents
carlvellotti/claude-code-pm-course,314,314,86,9,9,1,https://github.com/carlvellotti/claude-code-pm-course
