full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
wshobson/agents,25423,25423,2802,106,106,11,https://github.com/wshobson/agents
anthropics/skills,40642,40642,3734,1150,1150,125,https://github.com/anthropics/skills
anthropics/claude-code-security-review,2834,2834,208,2,2,0,https://github.com/anthropics/claude-code-security-review
https-deeplearning-ai/sc-claude-code-files,363,363,488,1,1,5,https://github.com/https-deeplearning-ai/sc-claude-code-files
github/spec-kit,62538,62538,5417,299,299,15,https://github.com/github/spec-kit
siteboon/claudecodeui,5493,5493,700,23,23,5,https://github.com/siteboon/claudecodeui
lst97/claude-code-sub-agents,1315,1315,218,3,3,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,793,793,398,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
edmund-io/edmunds-claude-code,917,917,193,7,7,1,https://github.com/edmund-io/edmunds-claude-code
feiskyer/claude-code-settings,1084,1084,167,11,11,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,833,833,190,3,3,1,https://github.com/sugyan/claude-code-webui
router-for-me/CLIProxyAPI,6633,6633,1014,117,117,24,https://github.com/router-for-me/CLIProxyAPI
nishimoto265/Claude-Code-Communication,470,470,219,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
rizethereum/claude-code-requirements-builder,1727,1727,171,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
ComposioHQ/awesome-claude-skills,19226,19226,1948,501,501,47,https://github.com/ComposioHQ/awesome-claude-skills
centminmod/my-claude-code-setup,1646,1646,160,2,2,0,https://github.com/centminmod/my-claude-code-setup
andrepimenta/claude-code-chat,970,970,141,1,1,0,https://github.com/andrepimenta/claude-code-chat
winfunc/opcode,19974,19974,1535,26,26,1,https://github.com/winfunc/opcode
EnzeD/vibe-coding,3673,3673,1130,11,11,3,https://github.com/EnzeD/vibe-coding
darcyegb/ClaudeCodeAgents,466,466,43,4,4,1,https://github.com/darcyegb/ClaudeCodeAgents
peterkrueck/Claude-Code-Development-Kit,1274,1274,145,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
steipete/claude-code-mcp,1000,1000,116,4,4,2,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1155,1155,141,5,5,0,https://github.com/Njengah/claude-code-cheat-sheet
revfactory/claude-code-mastering,735,735,117,1,1,0,https://github.com/revfactory/claude-code-mastering
JessyTsui/Claude-Code-Remote,953,953,105,2,2,1,https://github.com/JessyTsui/Claude-Code-Remote
wasabeef/claude-code-cookbook,951,951,104,4,4,0,https://github.com/wasabeef/claude-code-cookbook
disler/claude-code-hooks-multi-agent-observability,897,897,275,2,2,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
EveryInc/compound-engineering-plugin,4716,4716,393,73,73,4,https://github.com/EveryInc/compound-engineering-plugin
zed-industries/claude-code-acp,737,737,111,8,8,0,https://github.com/zed-industries/claude-code-acp
0xfurai/claude-code-subagents,636,636,123,4,4,0,https://github.com/0xfurai/claude-code-subagents
opactorai/Claudable,3602,3602,555,4,4,1,https://github.com/opactorai/Claudable
kn1026/cc,699,699,265,1,1,0,https://github.com/kn1026/cc
slopus/happy,7318,7318,545,107,107,11,https://github.com/slopus/happy
jarrodwatts/claude-code-config,774,774,93,15,15,1,https://github.com/jarrodwatts/claude-code-config
catlog22/Claude-Code-Workflow,960,960,81,12,12,1,https://github.com/catlog22/Claude-Code-Workflow
upstash/context7,41945,41945,2040,122,122,2,https://github.com/upstash/context7
anthropics/claude-agent-sdk-python,4125,4125,550,22,22,6,https://github.com/anthropics/claude-agent-sdk-python
pchalasani/claude-code-tools,1070,1070,76,25,25,0,https://github.com/pchalasani/claude-code-tools
superdesigndev/superdesign,5719,5719,659,3,3,0,https://github.com/superdesigndev/superdesign
alirezarezvani/claude-code-tresor,428,428,107,1,1,0,https://github.com/alirezarezvani/claude-code-tresor
ericbuess/claude-code-docs,555,555,89,9,9,0,https://github.com/ericbuess/claude-code-docs
lyconear/Claude-Code,4,4,143,0,0,0,https://github.com/lyconear/Claude-Code
simonw/claude-code-transcripts,765,765,78,10,10,1,https://github.com/simonw/claude-code-transcripts
numman-ali/openskills,4953,4953,360,132,132,5,https://github.com/numman-ali/openskills
anthropics/claude-agent-sdk-demos,1145,1145,182,17,17,3,https://github.com/anthropics/claude-agent-sdk-demos
severity1/claude-code-prompt-improver,1048,1048,96,2,2,1,https://github.com/severity1/claude-code-prompt-improver
greggh/claude-code.nvim,1719,1719,54,3,3,0,https://github.com/greggh/claude-code.nvim
anthropics/claude-plugins-official,3697,3697,426,240,240,27,https://github.com/anthropics/claude-plugins-official
jeremylongshore/claude-code-plugins-plus-skills,974,974,118,12,12,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
kepano/obsidian-skills,6323,6323,302,230,230,17,https://github.com/kepano/obsidian-skills
zsio/claude-code-hub,144,144,149,0,0,2,https://github.com/zsio/claude-code-hub
d-kimuson/claude-code-viewer,777,777,70,4,4,0,https://github.com/d-kimuson/claude-code-viewer
coleam00/context-engineering-intro,12186,12186,2574,10,10,1,https://github.com/coleam00/context-engineering-intro
Matt-Dionis/claude-code-configs,596,596,79,1,1,0,https://github.com/Matt-Dionis/claude-code-configs
manzaltu/claude-code-ide.el,1247,1247,71,2,2,1,https://github.com/manzaltu/claude-code-ide.el
BloopAI/vibe-kanban,16025,16025,1482,376,376,26,https://github.com/BloopAI/vibe-kanban
ykdojo/claude-code-tips,911,911,57,134,134,10,https://github.com/ykdojo/claude-code-tips
anomalyco/opencode,69278,69278,6012,2155,2155,208,https://github.com/anomalyco/opencode
MadAppGang/claude-code,206,206,20,1,1,1,https://github.com/MadAppGang/claude-code
nextlevelbuilder/ui-ux-pro-max-skill,13900,13900,1414,946,946,68,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
UfoMiao/zcf,5203,5203,364,8,8,0,https://github.com/UfoMiao/zcf
bfly123/claude_code_bridge,633,633,62,16,16,0,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,704,704,78,29,29,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
gurusup/claude-code-demo,71,71,154,0,0,0,https://github.com/gurusup/claude-code-demo
breaking-brake/cc-wf-studio,2603,2603,289,27,27,3,https://github.com/breaking-brake/cc-wf-studio
oraios/serena,18642,18642,1275,55,55,6,https://github.com/oraios/serena
hesreallyhim/a-list-of-claude-code-agents,1129,1129,109,3,3,0,https://github.com/hesreallyhim/a-list-of-claude-code-agents
cexll/myclaude,1822,1822,222,50,50,3,https://github.com/cexll/myclaude
stretchcloud/claude-code-unified-agents,722,722,71,0,0,0,https://github.com/stretchcloud/claude-code-unified-agents
Dicklesworthstone/claude_code_agent_farm,624,624,74,0,0,0,https://github.com/Dicklesworthstone/claude_code_agent_farm
daaain/claude-code-log,626,626,54,1,1,0,https://github.com/daaain/claude-code-log
glidea/claude-worker-proxy,242,242,121,0,0,0,https://github.com/glidea/claude-worker-proxy
IncomeStreamSurfer/claude-code-agents-wizard-v2,307,307,156,0,0,0,https://github.com/IncomeStreamSurfer/claude-code-agents-wizard-v2
carlvellotti/claude-code-pm-course,339,339,90,5,5,2,https://github.com/carlvellotti/claude-code-pm-course
ericc-ch/copilot-api,2010,2010,346,11,11,4,https://github.com/ericc-ch/copilot-api
stevemolitor/claude-code.el,582,582,51,0,0,0,https://github.com/stevemolitor/claude-code.el
